Software name;Main programming language;Found;Approach;Repository;Connected to paper;Start year;Citations of paper (Google scholar);Stars*;Watch*;Fork*;Used by;Contributors;Issues (open+closed);Repository;Paper reference
Pyroomacoustics;python;Paperswithcode;Geometrical Acoustics;Github;Conference;2017;512;1300;45;412;198;25;209;https://github.com/LCAV/pyroomacoustics;Scheibler, R., Bezzam, E. and Dokmanić, I., 2018, April. Pyroomacoustics: A python package for audio room simulation and array processing algorithms. In 2018 IEEE international conference on acoustics, speech and signal processing (ICASSP) (pp. 351-355). IEEE.
RIR-Generator;C++;;Geometrical Acoustics;Github;Report;2016;551;401;18;144;;1;8;https://github.com/ehabets/RIR-Generator;Habets, E.A., 2006. Room impulse response generator. Technische Universiteit Eindhoven, Tech. Rep, 2(2.4), p.1.
gpuRIR;Python;Paperswithcode, Scopus, Lens;Geometrical Acoustics;Github;Journal;2018;114;442;11;89;;7;49;https://github.com/DavidDiazGuerra/gpuRIR;Diaz-Guerra, D., Miguel, A. and Beltran, J.R., 2021. gpuRIR: A python library for room impulse response simulation with GPU acceleration. Multimedia Tools and Applications, 80(4), pp.5653-5671.
sound-spaces;Python;Paperswithcode;Geometrical Acoustics;Github;Conference;2020;240;296;15;53;;2;134;https://github.com/facebookresearch/sound-spaces;Chen, C., Jain, U., Schissler, C., Gari, S.V.A., Al-Halah, Z., Ithapu, V.K., Robinson, P. and Grauman, K., 2020. Soundspaces: Audio-visual navigation in 3d environments. In Computer Vision–ECCV 2020: 16th European Conference, Glasgow, UK, August 23–28, 2020, Proceedings, Part VI 16(pp. 17-36). Springer International Publishing.
I-Simpa;C++, Python;;Geometrical Acoustics;Github;Conference;2012;18;213;26;52;;6;215;https://github.com/Universite-Gustave-Eiffel/I-Simpa;Picaut, J. and Fortin, N., 2012, April. I-Simpa, a graphical user interface devoted to host 3D sound propagation numerical codes. In Acoustics 2012.
3dti_AudioToolkit;C++;Scopus, Lens;Geometrical Acoustics;Github;Journal;2018;97;207;29;42;;10;22;https://github.com/3DTune-In/3dti_AudioToolkit;Cuevas-Rodríguez, M., Picinali, L., González-Toledo, D., Garre, C., de la Rubia-Cuestas, E., Molina-Tanco, L. and Reyes-Lecuona, A., 2019. 3D Tune-In Toolkit: An open-source library for real-time binaural spatialisation. PloS one, 14(3), p.e0211899.
rir_simulator_python;Python;;;Github;No;2017;;86;6;29;;1;5;https://github.com/sunits/rir_simulator_python;
FAST-RIR ;python;Paperswithcode;Machine learning method;Github;Conference;2021;37;135;6;25;;2;3;https://github.com/anton-jeran/FAST-RIR;Ratnarajah, A., Zhang, S.X., Yu, M., Tang, Z., Manocha, D. and Yu, D., 2022, May. FAST-RIR: Fast neural diffuse room impulse response generator. In ICASSP 2022-2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 571-575). IEEE.
FRA-RIR ;Python;Paperswithcode;Geometrical Acoustics;Github;Preprint;2022;3;150;8;21;;2;6;https://github.com/tencent-ailab/FRA-RIR;Luo, Y. and Yu, J., 2022. FRA-RIR: Fast random approximation of the image-source method. arXiv preprint arXiv:2208.04101.
pygsound;C++;;Geometrical Acoustics;Github;Conference;2019;63;131;1;21;;2;8;https://github.com/GAMMA-UMD/pygsound;Schissler, C. and Manocha, D., 2011, February. Gsound: Interactive sound propagation for games. In Audio Engineering Society Conference: 41st International Conference: Audio for Games. Audio Engineering Society.
waverb;C++;Lens;Geometrical Acoustics, Wave-Based;Github;Thesis;2017;9;149;18;21;;1;10;https://github.com/reuk/wayverb;Thomas, M.R., 2017. Wayverb: A graphical tool for hybrid room acoustics simulation (Doctoral dissertation, University of Huddersfield).
ParallelFDTD;C++;Scopus, Lens;Wave-Based;Github;Conference;2014;25;45;12;18;;1;;https://github.com/juuli/ParallelFDTD;Saarelma, J. and Savioja, L., 2014. An open source finite-difference time-domain solver for room acoustics using graphics processing units.
Gypsilab;Matlab;;Geometrical Acoustics, Wave-Based;Github;Journal;2018;20;59;10;17;;2;3;https://github.com/matthieuaussal/gypsilab;Alouges, F. and Aussal, M., 2018. FEM and BEM simulations with the Gypsilab framework. The SMAI journal of computational mathematics, 4, pp.297-318.
PFFFDTD;Pyton, C;;Wave-Based;Github;No (refers to github page);2021;?;66;5;17;;1;;https://github.com/bsxfun/pffdtd;
